Flight No.,Date andtime (UTC),"Version,Booster[a]",Launch site,Payload[b],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,Launchsite,"Version,booster[a]","Version,booster[c]",Payload[d],Description
179,5 October 202223:10,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1071.5,Starlink Group 4-29(52 satellites),"A West Coast Starlink network launch to a 540 km circular orbit at an inclination of 53.2°. SpaceX set a new record for the shortest time between two Falcon 9 launches at 7 hours and 10 minutes. The previous record time was 14 hours and 8 minutes, set between theSARah 1andGlobalstar-2 M087 (FM15)withUSA 328-331missions."
180,8 October 202223:05,,,,"7,350 kg (16,200 lb)",GTO,Intelsat,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1060.14,Galaxy 33 and Galaxy 34(2 satellites),"Northrop Grumman-built satellites for C-band clearing.At 7,350 kg total mass, this launch was one of the heaviest GTO SpaceX launches to date. This necessitated that the satellite be launched into a lower-energy orbit than a usual GTO, with its initial apogee at roughly 19,800 km (12,300 mi)."
181,15 October 202205:22,,,,"~4,500 kg (9,900 lb)",GTO,Eutelsat,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1069.3,Hotbird 13F,Box containing 2Adidas Al Rihlaballs (hosted)
182,20 October 202214:50,,,,"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1062.10,Starlink Group 4-36(54 satellites),An East Coast Starlink network launch to a 540 km circular orbit at an inclination of 53.2°. The 48th Falcon 9 launch of the year beat the record launches in a year for a vehicle type held bySoyuz-Uin 1979.
183,28 October 202201:14:10,,,,"~16,400 kg (36,200 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1063.8,Starlink Group 4-31(53 satellites),A West Coast Starlink network launch to a 540 km circular orbit at an inclination of 53.2°.
184,3 November 202205:22,,,,"~4,500 kg (9,900 lb)",GTO,Eutelsat,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1067.7,Hotbird 13G,"Built byAirbus, the 4500 kg satellite will maneuver to a 13° east orbit.50th Falcon 9 launch in 2022. The satellite reached a supersynchronousgeostationary transfer orbitof 410 km × 57,503 km inclined at 27.7°."
185,12 November 202216:06,,,,"~6,600 kg (14,600 lb)",GTO,Intelsat,Success,No attempt,"CCSFS,SLC-40",,F9 B5♺B1051.14,Galaxy 31 and Galaxy 32(2 satellites),"Maxar Technologiesbuilt satellites for C-band clearing.Intelsat says that it paid SpaceX an additional fee to devote all of the Falcon 9 rocket's propellant to deliver the satellites into a higher orbit than the normal sub-synchronous orbit, given the payload's high total mass of 6,600 kg (14,600 lb). The Falcon 9 first-stage boosterB1051, flying on its 14th flight, was expended, the first deliberately expended Falcon 9 booster since B1046 in January 2020.The satellites reached the supersynchronousgeostationary transfer orbitof 283 km × 58,433 km inclined at 24.2°."
186,23 November 202202:57,,,,"5,500 kg (12,100 lb)",GTO,Eutelsat,Success,No attempt,"CCSFS,SLC-40",,F9 B5♺B1049.11,Eutelsat 10B,"Built byThales Alenia Space, the satellite was launched into ageostationary transfer orbittargeting the 10° east GSO slot. The Falcon 9 first-stage boosterB1049flew its 11th mission and was expended into the Atlantic Ocean following the launch for the same reason as the previousGalaxy 31 and 32mission's boosterB1051. The satellite reached the supersynchronous geostationary transfer orbit of 261 km × 59,831 km inclined at 22.8°. B1049 flew with a Test/Spare Block 4 interstage on this flight since it donated its interstage to B1052 after its penultimate flight."
187,26 November 202219:20,,,,"3,528 kg (7,778 lb)",LEO(ISS),NASA(CRS),Success,Success(drone ship),"KSC,LC-39A",,F9 B5B1076.1,SpaceX CRS-26(Dragon C211.1),Last of the six additional cargo missions NASA awarded in 2015 to SpaceX under theCRS-2 contractflown after the initial 20 missions of phase 1 were completed in 2020.
188,8 December 202222:27,,,,"6,000 kg (13,000 lb)",PolarLEO,OneWeb,Success,Success(ground pad),"KSC,LC-39A",,F9 B5♺B1069.4,OneWebFlight #15 / SpaceX Flight 1(40 satellites),"Following theRussian invasion of Ukraine, OneWeb suspended launches onSoyuzrockets.In March 2022,OneWebannounced that they had signed an agreement with SpaceX to resume satellite launches.This was the first commercial (non-Starlink, non-NASA, non-government, non-crewed) satellite launch fromLC-39AsinceArabsat-6Ain 2019, and the first on Falcon 9 sinceEs'hail 2in 2018."
189,11 December 202207:38,,,,"~1,000 kg (2,200 lb)",Ballistic lunar transfer (BLT),ispaceMBRSCJAXANASA,Success,Success(ground pad),"CCSFS,SLC-40",,F9 B5♺B1073.5,Hakuto-R Mission 1Emirates Lunar MissionLunar Flashlight,"ispace's Hakuto-R (for Reboot)lunar landeris derived from theHakutoproject that was one of the defunctGoogle Lunar X Prizecontestants. Hakuto-R carries theRashidrover, built byMBRSCand JAXA built Transformable Lunar Robot. A separate 2023, Hakuto-R mission will include a Japanese rover.TheCanadian Space Agencyhas sponsored three private payloads with ispace: Mission Control Space Services will have a computer fly on the Rashid rover to test artificial intelligence algorithms, Canadensys Aerospace Corporation is arranging a 360-degree camera to fly, and NGC Aerospace Ltd will take pictures from orbit to compare them to maps in order to test a navigation system.Lunar Flashlightis aJPL-developedCubeSatthat will scan forwater ice deposits on the Moon; it was remanifested as a secondary payload after missing its integration window on theArtemis 1launch. First Falcon 9 booster landing on LZ-2."
190,16 December 202211:46,,,,"~2,200 kg (4,900 lb)",LEO,NASA/CNES,Success,Success(ground pad),"VSFB,SLC-4E",,F9 B5♺B1071.6,Surface Water and Ocean Topography(SWOT),American–European satellite intended to measure the surface altitude of water bodies with centimeter-level precision.
191,16 December 202222:48,,,,"~4,100 kg (9,000 lb)",MEO,SES,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1067.8,O3b mPOWER1 & 2,"In September 2019, SES signed a contract to launch the first part of their seven MEO satellites for its O3b low-latency, high-performance connectivity services."
192,17 December 202221:32,,,,"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",,F9 B5♺B1058.15,Starlink Group 4-37(54 satellites),"An East Coast Starlink network launch to a 540 km circular orbit at an inclination of 53.2°.B1058became the first booster to be launched and recovered fifteen times, exceeding its prior record."
193,28 December 202209:34,,,,"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1062.11,Starlink Group 5-1(54 satellites),An East Coast Starlink network launch targeting a 43° inclination orbit.This launch was the first launch of Starlink's second-generation constellation. SpaceX has said that under the new FCC license they are now able to deploy satellites to new orbits that will add more capacity to their network.
194,30 December 202207:38,,,,~400 kg (880 lb),RetrogradeLEO,ImageSat International,Success,Success(ground pad),"VSFB,SLC-4E",,F9 B5♺B1061.11,EROS-C3,"Israelielectro-opticalEarth observation satellitebased on theOPTSAT-3000satellite. This was the first SpaceX launch to a low-inclination retrograde orbit, previous retrograde orbits having been polar or Sun-synchronous. It targeting an ~140° inclination orbit. This launch marked the first time SpaceX completed 7 launches in a calendar month and the final rocket launch of 2022. SpaceX's Falcon family thus equaled the yearly world record for most successful launches by any rocket family, first set by theR-7 familyin 1980after this launch. B1061 became the only booster to land on all of SpaceX's different landing zones and drone ships except the rarely used LZ-2."
195,3 January 202314:56,,,,Unknown[e],SSO,Various,Success,Success(ground pad),"CCSFS,SLC-40",,F9 B5♺B1060.15,Transporter-6: (115 payloads Smallsat Rideshare),"Dedicated SmallSat Rideshare mission to Sun-synchronous orbit. It included sixspace tugs, also known as orbital transfer vehicles (OTV), which are two ofD-Orbit'sION Satellite Carriers,Epic Aerospace'sChimera LEO 1,Momentus'sVigoride-5,Skykraft's OTV andLauncher's Orbiter SN1.Orbiter SN1 failed shortly after deployment from Falcon and before deploying payloads. One of the payloads, EWS RROCI failed to deploy from Falcon 9 and the satellite re-entered with the upper stage.This was not a SpaceX failure as brokered dispensers and deployers are used on Transporter missions."
196,10 January 202304:50,,,,"6,000 kg (13,000 lb)",PolarLEO,OneWeb,Success,Success(ground pad),"CCSFS,SLC-40",,F9 B5♺B1076.2,OneWebFlight #16 / SpaceX Flight 2(40 satellites),"Following theRussian invasion of Ukraine, OneWeb suspended launches onSoyuzrockets.In March 2022,OneWebannounced that they had signed an agreement with SpaceX to resume satellite launches."
197,18 January 202312:24,,,,"4,352 kg (9,595 lb)",MEO,USSF,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1077.2,USA-343/GPS III-06(Amelia Earhart),"Space vehicle manufacturing contract awarded February 2013.In September 2018, the space vehicle was integrating harnesses.In March 2018, the Air Force announced it had awarded the launch contract for three GPS satellites to SpaceX."
198,19 January 202315:43,,,,"15,000 kg (33,000 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5B1075.1,Starlink Group 2-4(51 satellites),A West Coast Starlink network launch to a 570 km circular orbit at an inclination of 70°. This launch was the first launch of Starlink satellites using a non-reused booster.
199,26 January 202309:32,,,,"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1067.9,Starlink Group 5-2(56 satellites),An East Coast Starlink launch for the Generation 2 network. Heaviest payload flown on Falcon 9.
200,31 January 202316:15,,,,"~15,200 kg (33,500 lb)",LEO,SpaceXD-Orbit,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1071.7,Starlink Group 2-6(49 satellites)ION SCV009 Eclectic Elena,A West Coast Starlink network launch to a 570 km circular orbit at an inclination of 70°.
201,2 February 202307:58,,,,"16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",,F9 B5♺B1069.5,Starlink Group 5-3(53 satellites),An East Coast Starlink launch for the Generation 2 network.
202,7 February 202301:32,,,,"4,146 kg (9,140 lb)",GTO,Hispasat,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1073.6,Amazonas Nexus,Ahigh-throughput telecommunications satellite.Hosted payloads included USSF Pathfinder 2and Tele Greenland A/S's GreenSat.
203,12 February 202305:10,,,,"17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1062.12,Starlink Group 5-4(55 satellites),"An East Coast Starlink launch for the Generation 2 network. This launch marked a pad turn around record for SpaceX; the launch occurred five days, three hours, and 38 minutes after SpaceX's previous mission from pad 40 at Cape Canaveral."
204,17 February 202319:12,,,,"15,900 kg (35,100 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1063.9,Starlink Group 2-5(51 satellites),A West Coast Starlink network launch to a 570 km circular orbit at an inclination of 70°.
205,18 February 202303:59,,,,"5,470 kg (12,060 lb)",GTO,Inmarsat,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1077.3,Inmarsat-6 F2,"Inmarsat maintained its launch option after a scheduled 2016 Falcon Heavy launch (aEuropean Aviation Networksatellite) was switched for anAriane 5launch in 2017.This option could be used for launching Inmarsat-6B.In February 2022, Inmarsat confirmed Inmarsat-6 F2 will launch on a Falcon 9 rocket.The satellite reached the supersynchronous geostationary transfer orbit of 387 km × 41,592 km inclined at 27°."
206,27 February 202323:13,,,,"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1076.3,Starlink Group 6-1(21 satellites),"An East Coast Starlink launch to their Generation 2 network. First launch of downsized Starlink V2 satellites –  officially referred to as the F9-2 bus, but colloquially known as ""Starlink V2 Mini"". With the unknown of when Starship will be able to launch the second generation satellites, SpaceX modified the original V2 blueprint into a smaller, more compact one named “V2 Mini.” This adjustment, allowed Falcon 9 to transport these satellites, though not as many, into orbit.The first launch of the second satellites occurred on Monday, February 27, 2023, at Cape Canaveral Space Force Station in Florida from SLC-40. Falcon 9 successfully carried 21 of these satellites into orbit later that evening. SpaceX committed to reduce debris by keeping the Starlink tension rods, which hold the V2 mini satellites together, attached to the Falcon 9 second stage. These tension rods were discarded into orbit while launching earlier version of Starlink satellites.Observations confirm these V2 mini satellites host two solar panels like the Starship V2 satellites.This flight marked the 100th consecutive landing success of a Falcon 9 booster since 16 February 2021."
207,2 March 202305:34,,,,"~13,000 kg (29,000 lb)",LEO(ISS),NASA(CTS),Success,Success(drone ship),"KSC,LC-39A",,F9 B5B1078.1,Crew-6(Crew Dragon C206.4Endeavour♺ ),"LastUSCVlaunch out of original NASA award of sixCrew Dragonmissions, to carry up to four astronauts and 100 kg (220 lb) of cargo to the ISS, as well as feature a lifeboat function to evacuate astronauts from ISS in case of an emergency."
208,3 March 202318:38,,,,"15,900 kg (35,100 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1061.12,Starlink Group 2-7(51 satellites),A West Coast Starlink network launch to a 570 km circular orbit at an inclination of 70°.
209,9 March 202319:13,,,,"6,000 kg (13,000 lb)",LEO,OneWeb,Success,Success(ground pad),"CCSFS,SLC-40",,F9 B5♺B1062.13,OneWeb #17/SpaceX OneWeb-3(40 satellites),"Following theRussian invasion of Ukraine, OneWeb suspended launches onSoyuzrockets.In March 2022,OneWebannounced they had signed an agreement with SpaceX to resume satellite launches."
210,15 March 202300:30,,,,"2,852 kg (6,288 lb)",LEO(ISS),NASA(CRS),Success,Success(drone ship),"KSC,LC-39A",,F9 B5♺B1073.7,SpaceX CRS-27(Dragon C209.3♺),Three moreCRS-2missions for Dragon 2 covering up to CRS-29 were announced in December 2020.This flight used a partial boostback burn to bring the first-stage booster to its drone ship closer to the coast. The maneuver was meant to cut down processing time by decreasing the time spent moving the ship back for refurbishment.
211,17 March 202319:26,,,,"~16,200 kg (35,700 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1071.8,Starlink Group 2-8(52 satellites),A West Coast Starlink network launch to a 570 km circular orbit at an inclination of 70°.
212,17 March 202323:38,,,,"~7,000 kg (15,000 lb)",GTO,SES,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1069.6,SES-18 and SES-19,"SpaceX launched two C-band satellites for SES, with the option to launch a third satellite on a second flight.SpaceX set a new record for the shortest time between two Falcon 9 launches at 4 hours and 12 minutes. The previous record time was 7 hours and 10 minutes, set between theCrew-5(Crew Dragon C210.2Endurance) andStarlink Group 4-29missions on October 5, 2022."
213,24 March 202315:43,,,,"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1067.10,Starlink Group 5-5(56 satellites),An East Coast Starlink launch to their Generation 2 network.
214,29 March 202320:01,,,,"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1077.4,Starlink Group 5-10(56 satellites),An East Coast Starlink launch to their Generation 2 network. This launch marked the first time SpaceX completed 8 launches in a calendar month.
215,2 April 202314:29,,,,Unknown,LEO,SDA,Success,Success(ground pad),"VSFB,SLC-4E",,F9 B5♺B1075.2,Transport and Tracking Layer (Tranche 0A)(8 Transport and 2 Tracking Layer satellites),"First launch of SDA Transport and Tracking Layer satellites. Out of 10 satellites, 8 areYork Space Systemsbuilt Transport layer satellites and 2 are SpaceX-Leidosbuilt, Starlink-derived Tracking Layer satellites.The Transport layer is an interoperable mesh network of satellites intended to provide periodic low-latency and high-capacity data connectivity, while the Tracking Layer consists of interconnected satellites with cross-links and wide field of view infrared sensors for hypersonic missile tracking."
216,7 April 202304:30,,,,"~5,588 kg (12,319 lb)",GTO,IntelsatNASA,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1076.4,Intelsat 40eTEMPO,Maxar Technologies-built satellite that will service North and Central America.
217,15 April 202306:47,,,,Unknown,SSO,Various,Success,Success(ground pad),"VSFB,SLC-4E",,F9 B5♺B1063.10,Transporter-7: (51 payloads Smallsat Rideshare),"Dedicated SmallSat Rideshare mission to Sun-synchronous orbit. This launch debuts a new MVac nozzle extension design aimed at increasing cadence and reducing costs. This new nozzle extension is shorter, and as a result, the engine has a lower specific impulse and therefore performance. Due to this, it will only fly on missions that don't need Falcon 9's full performance capability.This also is the reason Falcon 9 first stage for the first time ever to perform a single engine entry burn and 3-engine landing burn, similar to one inFalcon Heavyside booster landings.Fifth second stage featuring Falcon long coast mission-extension kit, as this mission requires four second-stage burns while deploying payloads, excluding deorbit burn."
218,19 April 202314:31,,,,"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1073.8,Starlink Group 6-2(21 satellites),An East Coast v2 Mini Starlink launch to their Generation 2 network.
219,27 April 202313:40,,,,"~14,100 kg (31,100 lb)",SSO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1061.13,Starlink Group 3-5(46 satellites),A West Coast Starlink launch to a 560 kmSun-synchronous orbitat an inclination of 97.6°.
220,28 April 202322:12,,,,"~4,100 kg (9,000 lb)",MEO,SES,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1078.2,O3b mPOWER3 & 4,"Second part of SES' MEO satellites for its O3b low-latency, high-performance connectivity services."
221,4 May 202307:31,,,,"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1069.7,Starlink Group 5-6(56 satellites),An East Coast Starlink launch to their Generation 2 network.
222,10 May 202320:09,,,,"15,900 kg (35,100 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1075.3,Starlink Group 2-9(51 satellites),A West Coast Starlink network launch to a 570 km circular orbit at an inclination of 70°.
223,14 May 202305:03,,,,"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1067.11,Starlink Group 5-9(56 satellites),An East Coast Starlink launch to their Generation 2 network.
224,19 May 202306:19,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1076.5,Starlink Group 6-3(22 satellites),An East Coast v2 Mini Starlink launch to their Generation 2 network.
225,20 May 202313:16,,,,"~6,600 kg (14,600 lb)",PolarLEO,Iridium&OneWeb,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1063.11,Iridium-NEXT(5 satellites)OneWeb(15 Gen1 plus a Gen2 test satellite),"Iridium-9 rideshare mission, carrying five on-orbit spare Iridium-NEXT satellites along with 15 Gen1 and a demo Gen2OneWebsatellites.Second mission featuring a shorter MVac nozzle extension, suitable for low-energy missions."
226,21 May 202321:37,,,,"~13,000 kg (29,000 lb)",LEO(ISS),Axiom Space,Success,Success(ground pad),"KSC,LC-39A",,F9 B5B1080.1,Ax-2(Crew Dragon C212.2 Freedom♺),Axiom contracted for three additional private crewed missions in June 2021.Peggy WhitsonandJohn Shoffnerwere signed on as commander and pilot for Ax-2.The third and fourth seats were bought bySaudi Arabia.The Saudi crew members were revealed to beAli AlQarniandRayyanah Barnawi.First time a booster landed on a ground pad after a crewed launch.
227,27 May 202304:30,,,,"~4,500 kg (9,900 lb)",GTO,Arabsat,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1062.14,ArabSat 7B(Badr-8),Includes Airbus's TELEO optical communications payload demonstrator.
228,31 May 202306:02,,,,"~16,400 kg (36,200 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1061.14,Starlink Group 2-10(52 satellites),A West Coast Starlink launch to a 570 km circular orbit at an inclination of 70°. The 200th consecutive successful Falcon 9 mission. This launch marked the first time SpaceX completed 9 launches in a calendar month.
229,4 June 202312:20,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1078.3,Starlink Group 6-4(22 satellites),An East Coast v2 Mini Starlink launch to their Generation 2 network.
230,5 June 202315:47,,,,"~9,525 kg (20,999 lb)",LEO(ISS),NASA(CRS),Success,Success(drone ship),"KSC,LC-39A",,F9 B5♺B1077.5,SpaceX CRS-28(Dragon C208.4♺ ),"Three moreCRS-2missions for Dragon 2 covering up to CRS-29 were announced in December 2020.Third mission featuring a shorter MVac nozzle extension, suitable for low-energy missions."
231,12 June 202307:10,,,,"~16,400 kg (36,200 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1073.9,Starlink Group 5-11(52 satellites),An East Coast Starlink launch to their Generation 2 network.
232,12 June 202321:35,,,,Unknown[e],SSO,Various,Success,Success(ground pad),"VSFB,SLC-4E",,F9 B5♺B1071.9,Transporter-8: (72 payloads Smallsat Rideshare),"Dedicated SmallSat Rideshare mission to Sun-synchronous orbit. Expected to fly on this mission are Launcher's Orbiter SN3 vehicleand the first of Satellite Vu Mid-wave Infrared imaging satellite. This mission marked the 200th overall successful booster landing. Fourth mission featuring a shorter MVac nozzle extension, suitable for low-energy missions."
233,18 June 202322:21,,,,"~4,580 kg (10,100 lb)",GTO,PT Pasifik Satelit Nusantara,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1067.12,SATRIA,"PSN selected Falcon 9 in September 2020, to launch its satellite instead of a Chinese rocket orAriane 5."
234,22 June 202307:19,,,,"~14,500 kg (32,000 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1075.4,Starlink Group 5-7(47 satellites),"A West Coast Starlink launch. Seventh second stage featuring Falcon long coast mission-extension kit. Reaching 43° inclination orbit fromVandenberg, makes it the lowest orbital inclination ever reached by a rocket launched from the US west coast."
235,23 June 202315:35,,,,"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1069.8,Starlink Group 5-12(56 satellites),An East Coast Starlink launch to their Generation 2 network.
236,1 July 202315:12,,,,"~2,160 kg (4,760 lb)",Sun–Earth L2injection,ESA,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1080.2,Euclid,"Euclid is a visible tonear-infraredspace telescopeto better understanddark energyanddark matterby accurately measuring theacceleration of the universe. At $1.5 bn construction cost for the satellite, it is the most expensive payload launched on Falcon 9."
237,7 July 202319:29,,,,"~14,900 kg (32,800 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1063.12,Starlink Group 5-13(48 satellites),A West Coast Starlink launch to their Generation 2 network.
238,10 July 202303:58,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1058.16,Starlink Group 6-5(22 satellites),"An East Coast v2 mini Starlink launch to their Generation 2 network.B1058was the first booster to launch and land 16 times, pushing the envelope and surpassing its previous record, which was 15 flights."
239,16 July 202303:50,,,,"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1060.16,Starlink Group 5-15(54 satellites),An East Coast Starlink launch to their Generation 2 network. Last v1.5 launch. Second booster flying for the 16th time.
240,20 July 202304:09,,,,"~12,000 kg (26,000 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1071.10,Starlink Group 6-15(15 satellites),A West Coast v2 mini Starlink launch to their Generation 2 network. First Starlink V2 mini launch from West Coast.
241,24 July 202300:50,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1076.6,Starlink Group 6-6(22 satellites),An East Coast v2 mini Starlink launch to their Generation 2 network.
242,28 July 202304:01,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1062.15,Starlink Group 6-7(22 satellites),"An East Coast v2 mini Starlink launch to their Generation 2 network. The launch occurred 4 days 3 hours and 11 minutes after SpaceX's previous mission from the same pad, setting a new record that was broken again ten days later with flight 244."
243,3 August 202305:00,,,,"~5,063 kg (11,162 lb)",GTO,Intelsat,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1077.6,Galaxy 37Horizons-4,"Intelsat originally contracted both SpaceX and Arianespace to launch its seventh C-band replacement satellite, Galaxy 37.Launch was previously awarded toArianespace.Also known as Galaxy 13R, as it will replaceGalaxy 13.The spacecraft also contains a Ku-band payload to be known as Horizons-4, which will be Japan-licensed."
244,7 August 202302:41,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1078.4,Starlink Group 6-8(22 satellites),"An East Coast v2 mini Starlink launch to their Generation 2 network. This launch marked a pad turn around record for SpaceX; the launch occurred 3 days, 21 hours, and 41 minutes after SpaceX's previous mission from pad 40 at Cape Canaveral. The previous record was set the month before at the same launch pad."
245,8 August 202303:57,,,,"~12,000 kg (26,000 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1075.5,Starlink Group 6-20(15 satellites),A West Coast v2 mini Starlink launch to their Generation 2 network.
246,11 August 202305:17,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1069.9,Starlink Group 6-9(22 satellites),An East Coast v2 mini Starlink launch to their Generation 2 network. 1st time flying a fairing half for the 11th time. 100th launch of a batch of Starlink satellites (excluding launch of test satellites Tintin A&B).
247,17 August 202303:36,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1067.13,Starlink Group 6-10(22 satellites),An East Coast v2 mini Starlink launch to their Generation 2 network.
248,22 August 202309:37,,,,"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success(drone ship),"VSFB,SLC-4E",,F9 B5♺B1061.15,Starlink Group 7-1(21 satellites),A West Coast v2 mini Starlink launch to their Generation 2 network.
249,26 August 202307:27,,,,"~13,000 kg (29,000 lb)",LEO(ISS),NASA(CTS),Success,Success(ground pad),"KSC,LC-39A",,F9 B5B1081.1,Crew-7(Crew Dragon C210.3Endurance♺),"After first sixCrew Dragonlaunches of NASAUSCVaward, a further three missions for SpaceX were announced on 3 December 2021. These launches carry up to four astronauts and 100 kg (220 lb) of cargo to the ISS as well as feature a lifeboat function to evacuate astronauts from ISS in case of an emergency."
250,27 August 202301:05,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1080.3,Starlink Group 6-11(22 satellites),An East Coast v2 mini Starlink launch to their Generation 2 network.
251,1 September 202302:21,,,,"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,F9 B5♺B1077.7,Starlink Group 6-13(22 satellites),An East Coast v2 mini Starlink launch to their Generation 2 network.
252,2 September 202314:25,,,,Unknown,LEO,SDA,Success,Success(ground pad),"VSFB,SLC-4E",,F9 B5♺B1063.13,Transport and Tracking Layer (Tranche 0B)(11 Transport and 2 Tracking Layer satellites),"Second launch of SDA Transport and Tracking Layer satellites. Originally intended to launch remaining 18 satellites but a late change reduced this to 13. One isYork Space Systemsbuilt and 10 areLockheed Martin-Tyvak Space systemsbuilt Transport layer satellites and 2 are SpaceX-Leidosbuilt, Starlink-derived Tracking layer satellites.The Transport layer is an interoperable mesh network of satellites intended to provide periodic low-latency and high-capacity data connectivity, while the Tracking Layer consists of interconnected satellites with cross-links and wide field of view infrared sensors for hypersonic missile tracking. Fifth mission featuring a shorter MVac nozzle extension, suitable for low-energy missions. This was the 61st launch of a Falcon rocket this year, the same number of launches carried out in all of 2022."
